Titre :;Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR)
Magnitude :;Millions (6)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
Jan 2003;1043274
Fév 2003;1042559
Mar 2003;1044925
Avr 2003;1069971
Mai 2003;1066363
Jun 2003;1044898
Jul 2003;1087434
Aoû 2003;1090064
Sep 2003;1086684
Oct 2003;1087624
Nov 2003;1089913
Déc 2003;1098785
Jan 2004;1100775
Fév 2004;1115578
Mar 2004;1116250
Avr 2004;1123073
Mai 2004;1119906
Jun 2004;1130286
Jul 2004;1136964
Aoû 2004;1147883
Sep 2004;1151368
Oct 2004;1163055
Nov 2004;1166565
Déc 2004;1178773
Jan 2005;1189437
Fév 2005;1201346
Mar 2005;1204081
Avr 2005;1210381
Mai 2005;1233287
Jun 2005;1240087
Jul 2005;1255106
Aoû 2005;1258703
Sep 2005;1263468
Oct 2005;1268003
Nov 2005;1268364
Déc 2005;1280668
Jan 2006;1289808
Fév 2006;1306045
Mar 2006;1318389
Avr 2006;1352083
Mai 2006;1345225
Jun 2006;1346718
Jul 2006;1344198
Aoû 2006;1375678
Sep 2006;1389834
Oct 2006;1398555
Nov 2006;1413484
Déc 2006;1419904
Jan 2007;1439276
Fév 2007;1451074
Mar 2007;1491778
Avr 2007;1494220
Mai 2007;1520193
Jun 2007;1541389
Jul 2007;1544979
Aoû 2007;1545097
Sep 2007;1580291
Oct 2007;1592703
Nov 2007;1635150
Déc 2007;1641769
Jan 2008;1656698
Fév 2008;1664955
Mar 2008;1671051
Avr 2008;1675016
Mai 2008;1689192
Jun 2008;1687151
Jul 2008;1700131
Aoû 2008;1700782
Sep 2008;1701604
Oct 2008;1724201
Nov 2008;1724987
Déc 2008;1728067
Jan 2009;1691325
Fév 2009;1712931
Mar 2009;1709692
Avr 2009;1713991
Mai 2009;1709696
Jun 2009;1689559
Jul 2009;1670693
