Titre :;Crédits à la consommation accordés aux particuliers résidents, encours;Crédits à l'habitat accordés aux particuliers résidents, encours;Autres crédits accordés aux particuliers résidents, encours;Crédits accordés aux particuliers résidents, encours
Code série :;BSI1.M.FR.N.R.A210Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A220Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A230Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A26.A.1.U6.2254FR.Z01.E
Unité :;Euro (EUR);Euro (EUR);Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6);Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
août-08;141692;619427;31344;792463
juil-08;143160;617101;31115;791377
juin-08;143230;609415;30979;783624
mai-08;140177;602205;31405;773787
avr-08;141184;598914;31069;771167
mars-08;139640;596612;30938;767190
févr-08;138837;592471;30828;762136
janv-08;139282;587809;30545;757636
déc-07;140265;583713;30430;754408
nov-07;138744;577331;30294;746369
oct-07;137801;572000;30547;740348
sept-07;136244;566943;30418;733604
août-07;135793;561481;30364;727638
juil-07;137041;556521;30422;723984
juin-07;136309;549545;30051;715905
mai-07;135044;541545;29899;706489
avr-07;134171;535600;29896;699667
mars-07;132949;531583;29991;694523
févr-07;132134;525886;29524;687544
janv-07;132718;521681;29332;683732
déc-06;134163;517235;28855;680253
nov-06;133169;509743;28910;671821
oct-06;132582;505249;28927;666759
sept-06;132046;500633;28977;661656
août-06;131522;494930;28951;655403
juil-06;132730;490488;29075;652293
juin-06;133040;482721;28944;644705
mai-06;131509;473740;28588;633837
avr-06;129057;469105;28733;626894
mars-06;128707;465025;28820;622552
févr-06;128171;459178;28625;615975
janv-06;128479;454700;29289;612468
déc-05;128253;450175;29178;607605
nov-05;126881;441756;29152;597789
oct-05;125822;436480;29576;591878
sept-05;123851;433657;29480;586988
août-05;123285;428957;29620;581862
juil-05;123652;425000;29668;578320
juin-05;123634;418238;29461;571333
mai-05;121909;410674;29479;562062
avr-05;120392;406193;29375;555960
mars-05;120275;402905;29297;552477
févr-05;119172;398340;29259;546772
janv-05;119249;395104;29148;543501
déc-04;120018;391618;29216;540852
nov-04;118837;387403;29268;535509
oct-04;118061;384851;29038;531950
sept-04;117438;381852;29241;528532
août-04;117160;379013;29199;525372
juil-04;117919;375812;29132;522862
juin-04;117921;369940;28907;516768
mai-04;116110;362317;28862;507288
avr-04;115697;357762;28832;502291
mars-04;114834;353616;28763;497213
févr-04;114242;350055;28690;492987
janv-04;114478;347681;28400;490559
déc-03;114979;344650;28607;488237
nov-03;113167;340554;28853;482574
oct-03;113023;338853;28801;480677
sept-03;112018;336060;29098;477176
août-03;110814;332477;28992;472284
juil-03;112276;329841;28993;471110
juin-03;112180;324517;29034;465730
mai-03;110673;321665;29356;461694
avr-03;110316;320638;29224;460179
mars-03;109550;318944;29157;457651
févr-03;108206;316899;29483;454588
janv-03;108408;315403;28498;452309
déc-02;109441;313568;29179;452188
nov-02;107829;310832;28689;447351
oct-02;108164;309564;28815;446543
sept-02;107832;307752;29044;444629
août-02;107404;305708;28792;441904
juil-02;108236;304018;28695;440949
juin-02;108443;301370;28206;438020
mai-02;109189;298752;27973;435914
avr-02;108224;296879;27824;432927
mars-02;107212;294856;27740;429808
févr-02;106624;292738;27903;427265
janv-02;106669;291584;27832;426086
déc-01;106782;290225;27615;424621
nov-01;106250;288605;27622;422477
oct-01;105392;287215;27492;420099
sept-01;104232;286540;27449;418220
août-01;103658;285709;26980;416346
juil-01;104882;284412;27093;416387
juin-01;103969;281378;27436;412783
mai-01;102795;279243;26944;408981
avr-01;103195;278225;26864;408284
mars-01;102722;277524;26865;407111
févr-01;103392;275759;26822;405973
janv-01;102755;274536;26873;404163
déc-00;102171;272897;26832;401901
nov-00;100837;271890;27039;399767
oct-00;101277;270469;27225;398971
sept-00;99801;268651;27213;395664
août-00;99461;266781;27055;393297
juil-00;100006;265583;27179;392768
juin-00;99277;263111;26968;389356
mai-00;98455;261371;27054;386879
avr-00;97182;259728;26917;383827
mars-00;96733;258525;26962;382220
févr-00;95589;256943;26667;379198
janv-00;96553;255870;26603;379026
déc-99;95030;254872;26684;376586
nov-99;91404;252769;27310;371482
oct-99;90878;251824;27364;370066
sept-99;90222;250095;27762;368079
août-99;89794;248174;27176;365143
juil-99;89861;245628;27276;362765
juin-99;89218;242696;27343;359257
mai-99;88223;239261;27054;354538
avr-99;86978;238282;26796;352056
mars-99;86685;236938;27058;350681
févr-99;85648;237070;26644;349362
janv-99;85132;237229;26919;349280
déc-98;85845;235559;27004;348409
nov-98;83885;237169;27042;348097
oct-98;82829;237766;26669;347264
sept-98;82815;234636;27134;344584
août-98;71699;231904;31716;335319
juil-98;72007;231498;32047;335552
juin-98;72361;229682;30901;332945
mai-98;71304;228318;30519;330140
avr-98;70045;227535;30596;328175
mars-98;70241;226952;30230;327422
févr-98;69897;226559;30288;326744
janv-98;69885;226839;30663;327387
déc-97;70514;227070;31181;328764
nov-97;69136;225204;30756;325097
oct-97;68763;224671;30756;324189
sept-97;67685;223846;30620;322152
août-97;66683;222971;30674;320328
juil-97;67114;222196;30891;320201
juin-97;66310;221916;30788;319014
mai-97;65899;221014;30822;317734
avr-97;64991;220531;30676;316199
mars-97;64376;220071;30376;314822
févr-97;64293;220401;30447;315141
janv-97;64580;221003;30478;316060
déc-96;65187;220607;30312;316106
nov-96;63933;218724;30703;313360
oct-96;63465;218017;30780;312262
sept-96;62688;217345;30731;310765
août-96;61826;216263;30386;308475
juil-96;61955;215919;30640;308514
juin-96;61156;214885;30255;306295
mai-96;61320;215277;30559;307156
avr-96;60743;215362;30419;306524
mars-96;60132;215534;30356;306022
févr-96;59780;214497;30619;304897
janv-96;59838;214674;30624;305136
déc-95;59763;214895;30433;305091
nov-95;58720;213861;30680;303261
oct-95;58297;214206;30827;303330
sept-95;57207;214649;30886;302742
août-95;56718;214721;31415;302854
juil-95;57048;214733;31520;303301
juin-95;57498;214376;31271;303145
mai-95;56513;213089;31816;301418
avr-95;56205;212700;31696;300601
mars-95;56302;212531;31703;300536
févr-95;56333;212507;31916;300756
janv-95;56178;213353;31611;301143
déc-94;56458;213979;31328;301765
nov-94;56707;213248;31407;301362
oct-94;56168;212825;31557;300550
sept-94;55493;212628;31496;299616
août-94;54992;211874;31442;298308
juil-94;55328;211825;31572;298726
juin-94;55325;211134;31962;298421
mai-94;55054;210048;32362;297464
avr-94;53937;209814;32474;296225
mars-94;53456;210102;32628;296186
févr-94;53529;209897;32961;296387
janv-94;53604;209963;32923;296490
déc-93;54573;210559;32422;297554
nov-93;54285;210020;32544;296850
oct-93;53596;209897;32946;296439
sept-93;53443;209934;33106;296482
août-93;53516;208854;33474;295844
juil-93;53744;208738;33618;296099
juin-93;53948;208315;33379;295643
mai-93;54101;207468;33878;295447
